"source","target","value"
"new york","consulting",39
"california","lawyer",37
"new jersey","lawyer",32
"new jersey","professor",32
"new york","lawyer",26
"chile","professor",22
"genova, italy","consulting",22
"germany","management",22
"italy","finance",22
"russia","lawyer",22
"san diego","actress",22
"uk","finance",22
"brooklyn, ny","who knows",21
"budapest","scientist",21
"israel","research",21
"mexico","academia",21
"new york city","undecided",21
"russia","research",21
"taiwan","dietician",21
"texas","scientist",21
"toronto","researcher",21
"warsaw, poland","who knows",21
"washington, dc","professor",21
"baltimore","finance",20
"colombia","consulting",20
"france","make money",20
"germany","professor",20
"midwest usa","undecided",20
"new york","business",20
"new york","historian",20
"russia/germany","researcher",20
"san francisco","consulting",20
"sweden","hero",20
"connecticut","undecided",19
"houston","lawyer",19
"israel","academia",19
"italy","banker",19
"new york city","filmmaker",19
"spain","academic",19
"ann arbor","writer",18
"atlanta, ga","trader",18
"chicago","consulting",18
"germany","consulting",18
"israel","academic",18
"israel","professor",18
"minneapolis","finance",18
"ohio","teacher",18
"philippines","consulting",18
"boston","lawyer",16
"california","finance",16
"colorado","professor",16
"greece","academic",16
"los angeles","academic",16
