"source","target","value"
"consulting","European/Caucasian-American",126
"lawyer","European/Caucasian-American",94
"professor","European/Caucasian-American",75
"academic","European/Caucasian-American",69
"finance","European/Caucasian-American",60
"undecided","European/Caucasian-American",60
"finance","Asian/Pacific Islander/Asian-American",54
"lawyer","Black/African American",52
"research","European/Caucasian-American",52
"lawyer","Asian/Pacific Islander/Asian-American",48
"scientist","European/Caucasian-American",48
"professor","Asian/Pacific Islander/Asian-American",36
"banker","European/Caucasian-American",29
"lawyer","Other",28
"lawyer","Latino/Hispanic American",26
"actress","European/Caucasian-American",22
"management","European/Caucasian-American",22
"professor","Latino/Hispanic American",22
"academia","Latino/Hispanic American",21
"dietician","Asian/Pacific Islander/Asian-American",21
"researcher","Asian/Pacific Islander/Asian-American",21
"who knows","Black/African American",21
"who knows","European/Caucasian-American",21
"business","European/Caucasian-American",20
"ceo","European/Caucasian-American",20
"consulting","Latino/Hispanic American",20
"hero","European/Caucasian-American",20
"historian","European/Caucasian-American",20
"make money","European/Caucasian-American",20
"researcher","European/Caucasian-American",20
"academia","European/Caucasian-American",19
"filmmaker","European/Caucasian-American",19
"consulting","Asian/Pacific Islander/Asian-American",18
"professor","Other",18
"teacher","European/Caucasian-American",18
